605.000000 529.000000 -528.000000, 155.000000 763.000000 -342.000000, 732.000000 178.000000 901.000000, 649.000000 -658.000000 613.000000, 971.000000 -443.000000 619.000000, 165.000000 -87.000000 -815.000000, -882.000000 -576.000000 -977.000000, -861.000000 629.000000 -873.000000, -446.000000 266.000000 -951.000000, -583.000000 -650.000000 927.000000, 
518.999756 498.840729 -508.316681, -502.242493 522.935974 531.606140, 487.414978 534.141296 519.222778, -0.101344 -465.448792 492.736816, 654.425354 -489.045807 484.020691, 499.044525 -518.946350 -540.863037, -504.520325 -630.976440 -540.569824, -480.459045 696.976379 -519.243164, -421.441040 35.589333 -455.897369, -661.659180 -508.283569 507.480499, 
543.624146 521.846375 -525.279846, -508.076233 526.632874 535.273560, 490.877350 534.795532 519.206604, 2.965154 -464.148010 488.615173, 667.964478 -486.969299 481.653503, 501.557770 -519.607483 -540.382080, -504.744141 -658.545715 -448.505585, -483.000641 695.212952 -511.643127, -402.991943 34.214565 -451.002930, -666.824158 -500.486786 506.470886, 
527.091614 511.116608 -516.647644, -501.726776 487.590363 536.922546, 485.891205 532.016174 518.165588, 8.826250 -459.470917 497.035431, 711.790344 -526.445312 526.642822, 501.617218 -518.813965 -548.773621, -497.712067 -662.133789 -494.191162, -478.661743 689.307251 -509.062744, -401.034424 31.213413 -462.866882, -693.821777 -516.380737 546.591980, 
533.303101 507.334137 -507.727600, -463.169159 511.347290 529.571106, 494.626617 527.871704 512.130676, 16.615583 -457.535156 484.231842, 679.801575 -505.102875 498.034515, 513.561035 -514.650696 -532.959473, -506.561584 -666.706238 -504.061523, -489.455872 692.556396 -501.903320, -428.530426 26.674734 -481.071655, -694.861633 -526.733337 543.874512, 
519.739075 505.601593 -507.973877, -493.096069 523.639282 537.731445, 474.971771 528.463806 513.983887, 12.377891 -455.110687 478.031891, 677.331177 -495.448059 491.741791, 509.990295 -511.184387 -533.196106, -498.933472 -670.310913 -508.204193, -486.357910 692.662415 -497.858856, -428.612305 22.813345 -475.266174, -434.926239 -507.501984 528.094604, 
522.767029 510.959534 -511.562744, -511.775787 516.494202 538.201721, 484.489899 532.818909 517.632263, 62.303558 -442.180939 463.074432, 678.291382 -440.010590 494.157379, 513.263245 -514.768677 -542.000061, -505.201752 -674.891724 -508.171539, -487.926117 693.742737 -499.989197, -438.232422 20.385424 -474.728485, -589.433655 -517.548828 540.423035, 
520.302124 509.940155 -511.869141, -510.977448 519.969055 537.418091, 485.473480 545.877380 515.663269, 54.656876 -448.227020 457.821808, 687.080994 -451.629852 494.583069, 509.136200 -513.136047 -541.718506, -498.403687 -675.291809 -511.263550, -480.677734 691.346985 -474.102875, -435.593048 18.749262 -472.827728, -624.003113 -510.585388 534.458435, 
518.331726 507.283539 -512.859558, -505.638794 406.483063 541.282959, 485.078003 546.807678 517.379761, 47.022236 -455.269562 462.591614, 682.450073 -465.653107 494.731995, 501.669067 -499.662109 -551.640015, -492.889618 -675.035217 -515.328186, -477.355133 690.737366 -486.655273, -440.828186 18.085304 -461.848175, -636.858826 -506.890778 530.706726, 
524.385010 509.630524 -511.411591, -513.187439 480.555756 545.223083, 492.615082 559.132629 524.739502, 31.532581 -462.120575 462.057312, 689.056641 -476.017639 490.409454, 513.892517 -510.509613 -547.221741, -505.341644 -689.180542 -526.189819, -482.948517 675.089294 -481.098358, -443.175079 15.940167 -471.954559, -648.368958 -530.805969 524.796570, 
529.442627 520.281616 -522.872620, -509.196991 506.576324 551.407837, 481.855103 545.936584 522.667297, 32.465607 -467.040894 473.346039, 676.503601 -475.285431 493.135345, 504.343445 -507.910065 -545.622864, -490.248688 -675.908875 -526.573242, -475.592590 686.103088 -484.582672, -433.678040 9.562902 -473.875702, -648.545532 -517.207458 521.545349, 
522.832703 511.595917 -512.984985, -515.742798 523.602600 554.655762, 488.337830 543.086060 519.202026, 27.920820 -461.393158 470.370544, 677.628723 -475.882843 488.589020, 440.371674 -518.504150 -552.460876, -491.154663 -675.100586 -523.904297, -477.599152 689.722290 -488.345795, -361.673523 13.386498 -472.498840, -654.048584 -511.227814 516.660522, 
531.963562 507.307648 -510.208221, -503.636475 514.162720 542.311890, 489.374359 530.661438 516.742065, 24.596209 -458.541046 477.387909, 680.484131 -479.151917 478.653564, 493.079071 -519.761292 -546.477478, -507.005737 -669.925903 -523.732300, -490.607269 682.511353 -489.249420, -390.273834 19.823318 -465.976471, -657.596191 -503.285614 512.075989, 
520.825928 508.866608 -512.820801, -512.981384 537.439514 561.149292, 486.837799 535.605408 519.890808, 22.475859 -461.421417 482.416931, 671.755798 -480.809906 479.568665, 497.615967 -515.194519 -544.509399, -503.399384 -666.347107 -527.309448, -485.198395 682.905762 -495.395264, -389.898529 19.118856 -467.049347, -656.558472 -502.638397 514.631775, 
526.325439 511.893219 -511.880981, -509.577850 528.397766 544.457947, 491.225159 536.898499 517.862854, 19.404346 -461.510803 479.162323, 801.185364 -585.381775 580.486816, 511.257782 -518.019958 -544.344604, -508.949860 -670.159790 -526.897522, -493.172943 687.287964 -494.342926, -407.140503 20.348780 -454.223694, -701.198608 -527.659424 541.980835, 
518.181641 510.653076 -510.030609, -538.230896 558.362061 577.551208, 495.333771 518.533813 515.369629, 39.473244 -454.088226 471.193054, 711.797852 -528.223145 526.409851, 518.363342 -511.867462 -524.657715, -506.284882 -671.845947 -526.416016, -493.111481 688.584045 -499.120422, -413.454193 18.774635 -453.866638, -672.983276 -509.535156 524.962036, 
515.047913 511.086151 -512.318359, -516.578979 542.069885 561.214722, 504.401550 538.898804 534.844116, 30.844431 -447.015808 472.707214, 678.999756 -506.462891 509.333069, 507.511475 -458.693146 -530.195435, -493.339508 -669.638428 -527.556885, -481.051544 681.346130 -491.298920, -411.532227 19.326881 -451.127533, -655.306030 -501.314758 521.779541, 
510.723877 519.842224 -510.083923, -500.495209 529.666199 548.740784, 492.928040 531.453918 523.853088, 25.653891 -443.337341 473.507019, 666.164307 -498.722931 499.172180, 504.510620 -486.865662 -535.281555, -484.339233 -661.740295 -529.449646, -477.580231 674.639038 -495.206055, -415.857605 19.815397 -451.485870, -648.323242 -497.921387 519.917236, 
516.927917 521.336975 -513.862366, -495.963226 528.848816 543.685425, 492.822510 532.359497 523.496399, 22.385521 -444.524078 474.612305, 661.361328 -493.897797 494.049927, 503.971069 -493.216003 -538.038086, -487.782715 -673.034851 -535.350952, -478.435822 680.828613 -500.064423, -419.050690 19.018126 -455.056305, -655.839233 -505.235199 524.268799, 
517.566711 518.012512 -512.600281, -502.315704 528.411987 546.377747, 492.555695 532.095703 520.347839, 17.832748 -445.277344 464.305634, 661.117432 -492.796997 491.631989, 507.768799 -502.156067 -543.096130, -481.344849 -670.411255 -530.358215, -485.016205 692.770996 -507.413239, -422.591888 17.005394 -455.914978, -651.838562 -503.604828 517.504944, 
521.037476 520.299683 -518.751038, -498.370148 527.747620 541.286438, 481.188599 535.757874 523.329590, 17.224403 -446.914459 469.554901, 660.356445 -480.206818 487.507416, 500.439880 -501.208038 -542.049316, -482.514008 -670.246338 -530.673950, -479.077454 684.663452 -504.352661, -424.470825 19.756130 -457.813141, -647.436401 -499.481323 517.611572, 
517.191467 513.457458 -513.806824, -499.490936 526.456055 537.870667, 489.752472 538.687744 526.451477, 17.813145 -452.787384 476.401093, 660.368347 -482.748535 487.857086, 501.924438 -500.165100 -542.265747, -482.272369 -670.624390 -529.427979, -475.907867 681.638428 -503.580688, -426.214783 19.785208 -463.106842, -644.815857 -499.513275 516.735413, 
504.640350 511.581024 -511.643219, -499.686279 504.167023 538.547424, 485.795990 536.224548 522.652405, 18.265720 -452.304993 476.858795, 661.916870 -484.128693 486.481140, 503.980408 -503.052826 -530.733826, -484.312225 -671.429871 -528.698975, -475.923065 682.457031 -501.750702, -429.455719 18.111929 -465.356659, -651.529907 -501.801758 516.416199, 
510.922852 509.575287 -511.897949, -504.211121 522.309875 542.562561, 474.828339 537.324097 520.034424, 16.626993 -453.620087 478.176575, 660.906677 -484.931702 491.876984, 504.202911 -502.842163 -536.976318, -482.413849 -677.152222 -532.945129, -477.173920 683.197388 -501.300873, -429.043732 15.549857 -466.169128, -645.744568 -506.194733 514.796936, 
513.176697 509.192749 -511.677856, -505.813782 525.379456 543.520142, 492.832489 546.564209 529.861389, 16.429899 -452.480164 477.072815, 663.418823 -483.670319 490.748749, 505.242371 -503.510864 -538.806274, -485.603363 -679.473389 -535.161011, -472.087280 684.235718 -499.770050, -427.961090 14.285029 -463.978973, -651.263611 -503.733276 513.307251, 
521.229919 513.667908 -514.415222, -499.378326 525.148926 540.401001, 487.165070 538.974854 522.690491, 16.547571 -452.001282 477.151398, 663.875610 -483.299347 489.149536, 504.745819 -504.239532 -539.067261, -493.256348 -689.812683 -541.916077, -470.980469 684.957886 -499.318329, -432.404449 13.958632 -468.016296, -657.935791 -506.949371 516.957336, 
516.250000 510.032867 -512.246765, -499.173157 524.010315 539.586304, 487.192200 535.852112 519.476257, 14.907665 -452.259979 476.622711, 654.747375 -481.903351 489.024139, 504.096527 -500.861450 -539.505188, -485.889404 -678.019287 -531.096558, -470.122498 684.922241 -498.398804, -430.667572 11.789396 -466.421997, -655.679688 -503.441193 514.408142, 
516.233521 509.693848 -512.346619, -498.127930 524.040405 538.856018, 487.416260 535.796631 519.507385, 12.731872 -452.040161 478.289764, 659.449219 -481.945038 488.784424, 502.459198 -504.000580 -539.497925, -483.540527 -674.432373 -529.412537, -470.132050 684.723816 -501.119141, -419.052948 13.346124 -466.518127, -655.643616 -502.139557 514.337646, 
511.260529 508.490326 -511.194244, -494.960754 525.677307 536.654297, 539.562744 590.377075 571.313110, 13.005274 -454.671051 481.085449, 664.339539 -485.199097 488.945557, 507.240692 -505.893402 -540.039978, -487.733582 -674.288086 -528.229675, -478.938477 666.063538 -503.982788, -421.924896 14.316219 -446.602753, -661.446289 -503.641998 514.865234, 
511.436493 511.109711 -505.199188, -483.873535 525.518494 535.684326, 507.827942 552.198242 540.894470, 15.768631 -440.057861 482.658722, 658.082153 -473.769165 485.351379, 501.052094 -503.541565 -539.900879, -482.868835 -670.868469 -530.897705, -478.907349 676.314026 -506.410980, -420.018494 10.970384 -452.013733, -656.242371 -500.730469 515.635742, 
512.916687 509.653625 -505.279327, -483.652191 526.535217 537.250610, 499.145691 531.441589 530.452026, 16.374472 -480.008789 521.376892, 658.100647 -480.445038 484.814636, 502.818634 -505.107269 -542.245056, -479.484436 -672.203735 -530.601318, -478.115906 677.518188 -506.742767, -422.774475 12.279098 -455.922424, -664.376465 -508.873749 521.242615, 
514.202209 510.245605 -506.576233, -488.666260 520.290710 536.691895, 496.341431 532.384583 528.420837, 12.010954 -473.417511 508.238007, 661.485168 -479.996338 477.759460, 503.292877 -506.286865 -540.251465, -482.402374 -672.991089 -522.460388, -465.100769 679.940308 -506.860809, -422.241669 11.183060 -451.448669, -661.378418 -500.179749 509.302765, 
519.955627 416.305511 -508.065125, -499.906769 530.043579 525.613831, 495.620636 531.926147 523.369507, 12.326939 -473.055298 507.985382, 667.290222 -481.513763 476.208130, 505.395935 -506.663269 -540.034546, -484.923035 -674.368103 -525.325867, -476.934143 683.106506 -507.062042, -426.794037 12.221887 -450.322906, -663.575623 -498.240570 508.451599, 
519.132141 475.736298 -516.605469, -492.649139 527.725342 533.187805, 488.613861 537.253967 519.772461, 12.362787 -467.284058 504.125031, 665.189148 -485.555389 482.392670, 498.836761 -526.177429 -542.734741, -484.579010 -676.038025 -530.611450, -462.766724 683.823792 -510.511047, -429.543640 10.406605 -452.752136, -662.034363 -497.647308 509.315948, 
518.358398 481.248657 -514.513000, -494.684448 515.645447 536.565552, 487.532166 534.184570 518.204834, 12.315578 -464.766785 501.136841, 659.223938 -480.376587 478.291656, 497.069183 -518.885437 -535.603210, -484.550323 -672.831726 -529.670044, -463.412872 682.655762 -509.482849, -430.484772 10.744526 -456.089752, -660.612732 -497.333527 511.125549, 
536.425781 508.418427 -531.188965, -498.563354 531.311829 545.410522, 486.653625 535.013184 519.311462, 11.502153 -463.448608 498.936066, 659.876038 -478.589417 479.123138, 495.875183 -514.344849 -535.055359, -483.462799 -669.810425 -529.112183, -465.248138 683.189148 -507.808624, -430.288818 11.610896 -457.140472, -658.101013 -499.344116 509.713837, 
525.060974 505.276276 -519.740967, -497.908600 528.628784 540.501404, 485.306183 533.908020 514.588745, 10.795536 -461.068146 497.853882, 658.114258 -479.259613 481.525513, 494.439758 -508.510254 -536.340759, -482.916748 -661.631409 -529.425232, -463.862427 681.973450 -504.252228, -425.425629 15.569455 -454.665619, -658.830322 -497.684875 510.663605, 
520.481018 500.011139 -517.737061, -498.757935 528.570068 541.236755, 486.721222 534.628967 517.626343, 10.252895 -460.529327 495.744904, 661.249329 -482.639893 482.065887, 506.852844 -514.518250 -548.829041, -481.831940 -667.908264 -530.040344, -467.008453 683.808838 -504.998047, -408.192230 18.437498 -455.614899, -659.214478 -497.198151 510.551361, 
525.475525 508.404633 -520.090881, -498.044434 526.176880 539.190430, 486.928009 534.061951 517.892517, 11.520941 -459.513306 493.043579, 676.293213 -479.281250 491.018768, 501.369171 -510.299164 -542.180176, -483.433075 -667.280884 -528.986145, -470.405365 681.272766 -504.071533, -413.590607 17.535925 -456.071350, -655.516418 -495.678680 510.099182, 
518.596680 506.936890 -511.713989, -496.864288 527.960815 539.942993, 492.523468 542.452271 525.448303, 15.350802 -462.774200 492.300507, 664.104004 -479.176208 485.547913, 499.475037 -508.096619 -538.382446, -483.479279 -668.210327 -528.871521, -471.168396 680.821594 -504.261932, -413.902557 18.221582 -455.936310, -656.121155 -497.361725 510.558441, 
518.212952 510.926178 -513.829224, -496.453033 525.176636 533.207581, 488.752472 538.049072 519.190796, 14.889583 -467.386200 496.854370, 646.357300 -477.820740 484.043701, 506.661377 -492.948792 -545.055237, -488.277130 -670.811584 -530.519409, -474.745972 682.418640 -503.954865, -418.053314 17.353392 -455.529694, -655.714966 -496.920837 509.357635, 
518.151062 514.422852 -513.612732, -493.176758 524.200317 535.816040, 487.952393 535.463501 519.916870, 10.425947 -466.023773 494.235321, 651.767029 -479.518066 483.319244, 500.572357 -498.278381 -539.773132, -483.816589 -669.514465 -529.053528, -474.291595 663.762146 -504.893585, -419.547211 16.884054 -456.445343, -657.181213 -494.882629 512.067627, 
517.851379 513.023132 -513.528320, -494.519714 525.798706 536.807922, 492.366577 538.967896 524.838867, 9.640581 -465.809784 494.401947, 657.532837 -480.369781 483.358429, 509.620422 -509.193573 -550.463684, -482.846405 -669.312561 -528.632141, -476.815552 677.168823 -506.460968, -419.524292 13.064862 -456.391266, -658.007263 -492.385010 512.987244, 
515.280090 507.887360 -509.857117, -493.975616 522.915710 535.235901, 489.902649 533.735107 521.787170, 10.736154 -460.663544 493.089661, 657.423096 -479.026581 480.213196, 500.930420 -507.916138 -546.933777, -456.877258 -670.261658 -527.799133, -477.092743 679.247314 -505.019653, -418.828644 13.263648 -453.122742, -659.920044 -497.446075 514.627747, 
515.546326 508.531158 -511.017181, -495.365082 525.943359 525.232788, 488.017578 533.912048 521.233948, 11.143271 -454.042633 492.873657, 657.584106 -479.548950 478.133942, 504.857208 -506.003662 -543.573181, -470.554932 -670.848572 -528.218933, -477.086853 683.643311 -507.873413, -422.143158 13.725247 -454.239899, -657.417419 -497.922272 510.340240, 
514.975403 508.667206 -509.080933, -495.224365 527.351318 533.241455, 488.970581 536.222534 522.713806, 10.944479 -457.848450 496.576599, 658.382385 -478.200165 480.496399, 503.666931 -504.277466 -541.699524, -476.238403 -671.744324 -528.210632, -476.929443 681.006226 -509.236572, -427.689209 15.168037 -461.581604, -656.147583 -500.494659 511.585297, 
515.090149 508.953033 -509.592987, -494.819672 527.713989 535.107300, 490.278900 538.886108 526.880554, 11.365870 -458.309570 495.748505, 659.947144 -479.241699 478.678955, 497.484192 -504.309692 -542.562927, -478.661285 -674.261108 -528.070740, -481.226166 691.803101 -514.081665, -425.465790 14.523643 -462.201996, -663.824707 -506.922607 518.690552, 
514.390381 505.715637 -508.850159, -498.347015 525.179626 539.495728, 489.842621 535.708069 524.140930, 10.108220 -456.716156 491.901306, 657.214722 -479.138947 479.196533, 497.433014 -498.786926 -540.511108, -480.591553 -672.568298 -526.140869, -473.928741 684.725403 -509.439850, -425.019806 16.926250 -459.775909, -657.632141 -500.575989 512.612732, 
529.342346 522.915771 -523.294312, -495.770630 526.157288 535.900330, 488.814636 535.246399 522.871277, 10.138305 -458.446198 495.231995, 658.598022 -481.779785 482.059082, 493.954346 -502.241669 -541.614624, -479.174957 -670.846069 -527.217773, -480.164062 693.509094 -513.504700, -426.359375 16.357920 -459.348846, -663.474243 -504.230255 516.263550, 
521.238647 514.090271 -517.196167, -496.392365 526.059143 536.633850, 482.925537 534.351074 517.069092, 9.236868 -456.507263 493.682770, 659.505127 -481.886169 479.742462, 499.556946 -501.062469 -542.054810, -481.595947 -671.415710 -520.590759, -475.392639 687.142761 -508.202820, -424.170258 19.358089 -458.736145, -667.625427 -506.704529 520.408081, 
517.159302 510.971619 -515.582458, -498.247467 525.714539 536.008118, 485.591736 522.421265 518.536682, 7.884676 -456.043640 493.574829, 657.928833 -481.998657 481.080200, 498.355927 -500.782349 -541.367554, -482.017609 -670.731323 -522.895813, -474.997894 684.013306 -507.296478, -424.167969 18.550488 -458.360443, -657.603516 -498.525665 515.273682, 
517.125305 510.690826 -512.864929, -498.213348 528.206543 537.087891, 492.097260 533.994568 523.949402, 8.381522 -456.944153 493.017822, 656.641113 -485.377594 481.827484, 498.632721 -503.370514 -541.375122, -481.160522 -666.978333 -524.458862, -472.254028 683.426819 -506.755402, -423.788605 17.168184 -459.119629, -657.355530 -500.340668 514.989929, 
521.220337 509.952118 -513.580139, -496.080658 528.794250 537.376282, 491.235504 533.940063 523.514771, 9.417552 -455.584473 492.100861, 653.511475 -485.308655 481.173615, 499.230377 -502.980408 -540.300842, -482.453766 -669.711304 -526.633667, -472.522461 681.685791 -506.042694, -434.060547 18.055464 -470.392853, -659.043640 -499.479248 513.514343, 
525.487000 515.931702 -519.274353, -495.687866 528.511963 537.171692, 490.081512 532.632812 520.964478, 8.712641 -453.934174 490.174347, 655.072144 -484.701324 481.509827, 497.871887 -502.111755 -540.409668, -483.114288 -672.436523 -526.688232, -471.043365 683.312561 -504.031281, -429.096893 18.268213 -465.790131, -658.991760 -498.014862 511.894470, 
519.047241 512.019775 -514.084167, -496.409668 527.840759 537.019714, 492.369507 536.084290 524.073364, 8.454982 -454.476715 489.723816, 651.419922 -486.010559 481.674072, 505.490570 -510.820892 -548.736694, -476.729797 -671.235840 -525.411194, -470.572632 684.292175 -503.659149, -426.177704 18.023428 -464.570465, -659.609070 -498.747589 511.353333, 
497.465729 507.427795 -513.843323, -496.557037 526.320618 536.398315, 490.488129 532.375793 519.859009, 8.313558 -452.372406 488.965179, 657.609863 -484.983521 478.695984, 493.830719 -505.412292 -542.993835, -477.948639 -670.985352 -525.785767, -472.500427 683.420593 -503.221649, -426.091949 16.798237 -462.999146, -659.663025 -499.275696 511.198303, 
511.624420 508.983917 -513.359619, -502.304535 531.834290 543.408447, 493.081665 518.721191 522.066650, 9.669937 -453.365417 490.282532, 650.330933 -484.913239 479.505615, 492.092163 -505.183136 -543.396545, -480.878265 -669.967651 -525.065186, -478.007568 680.701843 -502.718536, -427.647186 15.885373 -463.775024, -659.036438 -500.088043 511.399506, 
512.572083 507.256866 -511.497742, -497.565125 528.161865 539.655396, 490.095093 527.021729 520.603333, 7.575984 -454.055756 491.266113, 657.538757 -489.356842 479.685760, 498.147369 -504.554169 -544.266113, -483.211273 -669.754395 -524.409363, -478.090546 687.279663 -505.237793, -424.809479 16.879911 -460.408081, -662.098938 -501.425598 515.863281, 
515.301086 509.879639 -511.231262, -496.969452 526.089539 537.732056, 489.877625 530.063293 519.656921, 7.786856 -454.064087 491.300690, 658.318542 -488.597321 479.040283, 503.144684 -498.355194 -541.477051, -485.282104 -672.358459 -527.600586, -478.254242 685.412231 -504.882324, -423.553223 17.865892 -460.537201, -661.286926 -501.132050 513.344543, 
515.807922 513.397400 -514.449402, -495.987152 526.456055 536.425354, 489.133392 531.017944 520.128601, 8.695470 -453.712067 490.854828, 657.574951 -487.805817 479.342010, 498.806854 -501.265442 -540.649841, -476.881958 -671.570435 -527.823914, -476.068024 682.714600 -504.330566, -423.451752 17.439463 -460.876587, -658.552734 -499.993256 513.495972, 
514.721985 511.398132 -512.924744, -495.766663 527.778320 537.001404, 489.091248 531.232910 521.810364, 9.194281 -454.187164 491.430206, 650.331299 -487.487732 482.244324, 500.336731 -502.097382 -540.999146, -479.704803 -670.865173 -526.523438, -479.714478 690.469849 -509.945282, -423.163788 16.518848 -461.798889, -654.952637 -499.541016 511.441193, 
516.400330 512.661499 -512.414368, -497.774719 527.921936 537.611084, 485.138489 532.224304 519.804260, 8.289866 -452.709534 489.883911, 656.109863 -486.374084 481.675140, 495.353790 -498.960571 -538.956055, -488.580322 -681.690247 -534.681885, -478.070923 684.929077 -507.014160, -429.404022 18.460335 -465.000824, -651.670349 -480.859955 510.969696, 
511.629822 511.112274 -511.505341, -495.778748 529.838562 537.734497, 485.121674 531.247864 521.124146, 9.813037 -453.883179 489.227020, 657.155945 -487.265289 481.962952, 496.760559 -500.605713 -539.800415, -484.836975 -659.054443 -528.029724, -470.813110 684.095642 -504.988434, -427.086395 15.686496 -464.120728, -659.853149 -493.818848 514.690063, 
511.584503 511.477112 -511.441956, -497.078735 528.978088 535.744934, 489.083466 532.194946 520.950195, 9.331794 -454.661682 489.597290, 658.661133 -487.476105 477.516113, 498.039124 -501.297882 -539.992798, -483.897156 -668.662415 -527.793762, -472.343140 682.799377 -503.133087, -426.994232 18.795162 -458.204987, -658.295715 -496.008331 513.847778, 
522.549683 517.733887 -518.443115, -480.586273 528.278381 536.753601, 490.101990 532.267212 520.290527, 10.310715 -454.805450 489.815857, 664.988708 -490.824524 484.487061, 499.704742 -497.504578 -541.109680, -484.022491 -670.917297 -529.374329, -471.683105 684.136475 -505.102600, -430.043274 17.839025 -460.630859, -658.736328 -496.950897 514.437134, 
516.860291 513.548035 -514.540588, -489.337341 527.675049 539.069275, 491.995941 530.646851 519.334167, 11.507085 -456.134796 489.036438, 661.547729 -487.391266 479.774384, 499.090637 -495.523071 -541.874023, -479.872681 -669.615417 -527.835388, -482.159698 703.713013 -519.859680, -427.401245 17.984724 -460.998199, -657.561401 -496.170654 513.309265, 
513.633789 513.942993 -512.101685, -491.440552 526.299500 535.568909, 491.655670 531.277771 519.591064, 11.796881 -455.582794 489.401367, 658.557617 -483.989410 480.829987, 499.572205 -499.461243 -543.063721, -479.965790 -671.772217 -527.508911, -477.395569 686.013489 -509.695099, -426.647064 22.246813 -459.649933, -658.049866 -497.709900 514.326477, 
512.153137 511.939789 -512.212708, -484.410858 529.218140 536.684875, 490.546051 532.756165 520.734680, 11.180140 -458.538513 490.971954, 659.821167 -484.755768 476.999969, 501.198761 -502.261993 -542.561279, -485.207367 -676.797668 -531.302490, -475.382629 682.043457 -506.306824, -429.330322 19.055944 -464.011230, -663.102112 -501.408875 517.243958, 
521.067688 511.997223 -508.059357, -499.030151 529.890503 535.075317, 549.990295 566.712463 572.247131, 9.883358 -460.203430 488.747162, 662.059753 -487.160950 477.957336, 510.624023 -507.709839 -536.703796, -491.301086 -677.136292 -526.624023, -485.982910 688.004944 -503.992371, -436.349365 16.230917 -459.680450, -735.804443 -550.094666 565.066589, 
508.591949 506.971802 -497.242859, -484.157043 520.861816 533.539124, 510.558350 542.359436 542.775269, -2.918070 -447.331848 484.838135, 662.243164 -484.839935 484.083466, 502.061951 -503.891785 -540.268066, -484.586823 -672.999756 -522.912781, -476.352356 683.534851 -504.777191, -435.316101 13.177857 -460.568115, -661.576660 -517.824829 533.430420, 
541.814026 536.234253 -527.148438, -490.785431 523.155945 531.680420, 493.910217 535.467651 532.199646, 5.929959 -446.713440 481.174652, 656.682739 -487.501190 483.248444, 500.158081 -503.483093 -539.980652, -485.043335 -672.479614 -523.435364, -475.962555 682.607605 -503.769745, -435.044861 13.425042 -461.135956, -643.858337 -509.221771 523.111328, 
523.492493 517.509644 -514.875366, -474.003296 526.639648 536.460571, 496.825989 536.241089 527.478943, 12.462692 -446.767487 481.026367, 657.372314 -486.717194 483.904205, 498.947540 -498.393768 -539.824951, -483.876923 -673.766174 -525.009705, -469.276245 680.483826 -493.931152, -428.509430 16.093752 -460.338318, -652.966370 -505.657684 520.132507, 
517.020447 512.834106 -511.478271, -491.873779 531.636597 544.708923, 498.157959 535.822266 524.971619, 12.942117 -448.407959 482.029816, 658.040405 -487.798859 484.883087, 493.885986 -499.924591 -541.002686, -481.992767 -671.222107 -525.623291, -470.095764 682.294434 -499.053741, -428.645966 15.508767 -462.704132, -654.798279 -501.922302 519.118713, 
517.537292 512.028687 -511.440857, -491.262024 505.825378 540.146179, 501.621185 538.470703 529.558472, 12.548063 -448.317474 483.991272, 659.847290 -481.150543 485.812775, 499.048889 -501.509766 -540.398010, -487.175507 -677.070679 -528.900635, -476.018524 688.857178 -502.847900, -429.676605 16.344984 -463.595520, -655.335693 -499.348816 516.038513, 
514.590759 510.488312 -509.608337, -492.634552 519.353516 538.908020, 493.361877 536.894409 523.955261, 14.013145 -455.727295 488.954285, 659.405151 -484.686401 484.600220, 490.238983 -511.498322 -548.899902, -483.906647 -671.659424 -526.706970, -474.240295 685.713623 -499.687225, -426.112061 15.830154 -463.720520, -649.872192 -505.009949 514.825378, 
516.638000 507.298035 -510.546906, -494.078400 522.218384 538.877075, 490.777466 535.137695 523.372314, 14.885522 -455.275726 488.083771, 657.780640 -483.147278 480.993469, 497.024109 -507.258392 -545.144958, -485.839569 -672.393982 -526.279968, -475.144562 684.400757 -501.500946, -440.040894 16.862215 -478.854034, -652.900635 -501.987640 513.711975, 
519.865784 509.758148 -512.812805, -486.280457 523.906189 536.905579, 490.868744 533.568909 521.008301, 13.360288 -450.703613 484.847900, 661.941650 -484.198547 479.827576, 497.961243 -505.470856 -541.526062, -482.457062 -669.985596 -522.785828, -480.222900 702.124878 -509.967407, -430.557312 16.517710 -474.358429, -655.863586 -501.286133 512.680664, 
530.291992 521.304504 -525.485962, -492.218353 526.702515 536.532715, 490.910828 533.825623 521.668701, 13.503659 -452.614105 486.738098, 659.245667 -483.806976 481.819611, 498.909088 -504.290070 -542.964600, -481.120636 -672.086853 -522.773132, -472.672577 688.322266 -503.564423, -428.687714 20.081871 -471.493958, -656.353210 -499.376953 514.827271, 
520.777222 511.537750 -516.971069, -494.260864 525.396423 537.160828, 481.892120 532.721252 518.143494, 13.055964 -451.836517 485.927094, 658.645752 -483.927032 480.778320, 499.032837 -501.017761 -540.899597, -485.212921 -678.294067 -528.895081, -470.038849 685.702271 -501.739807, -435.495148 20.133495 -481.575226, -655.201233 -498.907104 513.384155, 
518.817200 510.504333 -511.108948, -499.266327 526.670471 538.619568, 487.281738 533.985718 518.902283, 11.995197 -452.972473 485.741882, 662.710083 -485.932892 482.750458, 480.638428 -502.727814 -541.159119, -480.019165 -675.057556 -524.553284, -470.913300 686.653076 -499.244812, -432.932983 16.994423 -475.735687, -655.965210 -497.994995 511.449646, 
518.042175 508.310822 -510.799896, -492.777863 524.147705 537.896179, 487.864685 531.747253 519.600464, 12.723189 -459.917969 495.802612, 661.493164 -486.066803 483.025330, 488.825714 -504.042542 -541.520691, -482.970551 -672.288635 -523.129272, -469.264893 685.434082 -498.770721, -432.021393 17.742409 -471.851868, -656.431519 -497.702545 510.822266, 
